network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
InMobi,App_Native,1447729376049436,2016-04-22,android,218,0.7155963303,0.298165137614679,0.44954128440367,0.527522935779816,0.0688073394495413,0.0275229357798165,0.00917431192660551,0,0.041284404
InMobi,App_Native,1452879973491727,2016-04-22,android,12269,0.8888254952,0.444290488222349,0.584644225283234,0.594832504686609,0.0988670633303448,0.0299127883283071,0.0111663542260983,0,0.055750265
InMobi,App_Native,1452880178577456,2016-04-22,ios,372,0.8924731183,0.551075268817204,0.75,0.64247311827957,0.21505376344086,0.0241935483870968,0.0241935483870968,1,0.056451613
InMobi,App_Native,1453932320649080,2016-04-22,android,215,0.8093023256,0.437209302325581,0.469767441860465,0.53953488372093,0.102325581395349,0.0232558139534884,0.0232558139534884,0,0.046511628
InMobi,App_Native,1453932492790355,2016-04-22,android,1586,0.816519546,0.438209331651955,0.528373266078184,0.5718789407314,0.103404791929382,0.0315258511979823,0.0170239596469105,0,0.051702396
InMobi,App_Native,3563,2016-04-22,android,1426,0.8232819074,0.328892005610098,0.374474053295933,0.384291725105189,0.0666199158485273,0.0140252454417952,0.00350631136044881,0,0.025946704
InMobi,App_Native,3745,2016-04-22,android,454,0.5374449339,0.204845814977974,0.233480176211454,0.240088105726872,0.0440528634361234,0.00881057268722467,0.0066079295154185,0,0.028634361
InMobi,App_Native,4125,2016-04-22,android,213,0.985915493,0.347417840375587,0.502347417840376,0.544600938967136,0.0938967136150235,0.0375586854460094,0.0187793427230047,0,0.056338028
InMobi,App_Native,{affiliate_id},2016-04-22,android,1139,0.7717295874,0.266022827041264,0.31694468832309,0.310798946444249,0.0491659350307287,0.00877963125548727,0.00526777875329236,0,0.016681299
IronSource,ID_App_Generic,CMC_PB43187,2016-04-22,android,228,0.9956140351,0.355263157894737,0.390350877192982,0.37719298245614,0.0526315789473684,0.0043859649122807,0,0,0.013157895
Motive,ID_App_Native,68332,2016-04-22,android,793,0.9936948298,0.508196721311475,0.60655737704918,0.621689785624212,0.113493064312736,0.0226986128625473,0.0151324085750315,0,0.04665826
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-22,android,4895,0.3965270684,0.184065372829418,0.272931562819203,0.269867211440245,0.0449438202247191,0.0177732379979571,0.00367722165474974,0,0.04453524
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-22,ios,647,0.7851622875,0.401854714064915,0.591962905718702,0.489953632148377,0.137557959814529,0.0231839258114374,0.0200927357032458,1,0.055641422
Mobvista SDK,ID_Traffic_Placement,441_6ae2e6c404abc284,2016-04-22,android,2088,0.6475095785,0.314655172413793,0.39367816091954,0.395593869731801,0.0761494252873563,0.0186781609195402,0.010536398467433,0,0.045977011
Mobvista SDK,ID_Traffic_Placement,441_93960d5fb44e9016,2016-04-22,android,403,0.5682382134,0.15136476426799,0.208436724565757,0.205955334987593,0.0421836228287841,0.0148883374689826,0.00744416873449132,0,0.029776675
Mobvista SDK,ID_Traffic_Placement,441_98be175f18ff1211,2016-04-22,android,1486,0.6164199192,0.337146702557201,0.333781965006729,0.368102288021534,0.0800807537012113,0.0100942126514132,0.00942126514131898,0,0.030955585
Mobvista SDK,ID_Traffic_Placement,441_dcacc2b04bdf831e,2016-04-22,android,462,0.9891774892,0.504329004329004,0.582251082251082,0.586580086580087,0.0952380952380952,0.0216450216450216,0.0216450216450216,0,0.036796537
Taptica,Traffic_Placement,1381228,2016-04-22,android,455,0.6879120879,0.342857142857143,0.4,0.4,0.0769230769230769,0.0153846153846154,0.0153846153846154,0,0.046153846
